001  00001 |Loss: 43.935 | Acc: 0.000% 
001  00002 |Loss: 43.285 | Acc: 0.000% 
001  00003 |Loss: 42.827 | Acc: 0.000% 
001  00004 |Loss: 42.466 | Acc: 0.000% 
001  00005 |Loss: 42.163 | Acc: 1.000% 
001  00006 |Loss: 41.974 | Acc: 1.667% 
001  00007 |Loss: 41.753 | Acc: 4.286% 
001  00008 |Loss: 41.598 | Acc: 3.750% 
001  00009 |Loss: 41.475 | Acc: 3.333% 
001  00010 |Loss: 41.329 | Acc: 4.500% 
001  00011 |Loss: 41.206 | Acc: 5.455% 
001  00012 |Loss: 41.108 | Acc: 6.250% 
001  00013 |Loss: 41.021 | Acc: 6.923% 
001  00014 |Loss: 40.938 | Acc: 7.857% 
001  00015 |Loss: 40.878 | Acc: 8.000% 
001  00016 |Loss: 40.806 | Acc: 8.750% 
001  00017 |Loss: 40.740 | Acc: 9.118% 
001  00018 |Loss: 40.685 | Acc: 9.444% 
001  00019 |Loss: 40.655 | Acc: 9.211% 
001  00020 |Loss: 40.593 | Acc: 11.000% 
001  00021 |Loss: 40.547 | Acc: 11.429% 
001  00022 |Loss: 40.519 | Acc: 12.273% 
001  00023 |Loss: 40.475 | Acc: 12.826% 
001  00024 |Loss: 40.430 | Acc: 13.958% 
001  00025 |Loss: 40.387 | Acc: 14.600% 
001  00026 |Loss: 40.361 | Acc: 14.808% 
001  00027 |Loss: 40.339 | Acc: 15.000% 
001  00028 |Loss: 40.310 | Acc: 15.893% 
001  00029 |Loss: 40.282 | Acc: 16.724% 
001  00030 |Loss: 40.252 | Acc: 17.333% 
001  00031 |Loss: 40.223 | Acc: 17.903% 
001  00032 |Loss: 40.206 | Acc: 17.812% 
001  00033 |Loss: 40.183 | Acc: 18.030% 
001  00034 |Loss: 40.161 | Acc: 18.088% 
001  00035 |Loss: 40.137 | Acc: 18.429% 
001  00036 |Loss: 40.105 | Acc: 19.444% 
001  00037 |Loss: 40.083 | Acc: 20.000% 
001  00038 |Loss: 40.054 | Acc: 20.526% 
